X,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49
x1452,"5,957",548,"7,397","7,715","3,344",784,"8,881","4,374","7,704","45,2","9,273","4,972",765,"2,556","6,923","49,5",13,"7,514","3,698","6,736",237,"9,652","7,048","3,303","3,446",7,8,7,3,2,0,4,4,6,0,7,7,8,6,3,0,1,4,4,2,3,0,2,1,6
x1453,986,"5,537","6,727","3,203","7,946","4,434","5,845","7,093","5,669","1,612","9,117","8,433","3,524",979,"3,965",422,"5,038","7,3","3,262",142,622,"9,023","2,275","1,476","2,637",5,0,0,7,6,5,0,4,4,0,8,3,7,7,0,2,3,8,8,1,8,4,2,2,8
x1454,"1,487","5,661","3,469","8,641","6,799","4,403","5,841","16,8","3,918","2,261","7,942","9,214","75,4","2,352","7,091","6,477","8,625",528,"6,161","4,958","5,488","8,667","67,8","1,253","3,873",7,3,2,7,6,7,1,3,5,2,6,4,7,1,6,7,8,3,2,1,4,2,3,7,8
x1455,"35,4","1,196","8,192","2,568","6,141","2,511","5,091","8,445","4,007","4,806","8,764","8,7","8,265","7,656","6,755",10,"4,959","5,894","4,896",192,"6,557","2,732","4,299","1,528","4,166",8,3,1,1,6,6,7,5,8,7,2,1,6,6,0,0,8,0,7,5,4,3,2,6,7
x1456,"8,594","5,863","5,684","3,201","6,892","7,875","9,074","7,6","1,959","3,278","9,437","2,915","6,765","8,491","5,695","2,736","6,054",686,"5,5","9,429","5,858","6,327","4,014","4,122","2,919",7,6,4,7,8,2,5,7,8,4,4,0,5,2,0,5,7,0,7,6,5,6,3,0,0
x1457,7,"1,575","8,072","4,877","4,721","6,511","47,5","6,661","6,338","4,304",90,"9,022","7,561","7,155","6,794","5,169","9,946","9,334","5,368","1,368",841,"0,76","1,309","9,211","43,3",1,3,5,1,0,3,8,3,7,1,2,7,6,4,0,7,5,8,5,6,0,2,6,5,1
x1458,562,"7,924","1,923","5,458","1,756","4,052","5,522","8,619","8,811","9,788","46,8","5,942","67,2","7,322","1,192","5,062","3,533","3,786","5,179","7,439","6,818","4,283","3,342","3,369","50,4",5,5,4,2,3,0,7,6,4,3,3,0,4,1,3,0,5,6,6,0,3,2,6,1,4
x1459,"7,259","4,013","1,553","5,364","1,783","12,4","2,041","2,613","9,674","8,336","5,761","1,845","5,454","9,544","2,094","7,881","8,858","96,1","1,698","4,626","2,703",32,"7,807","6,292","3,032",5,4,2,4,4,6,1,1,5,3,0,7,7,1,7,3,3,3,3,4,6,0,8,1,5
x1460,"3,449","1,507","4,424","4,931","3,331","62,8",251,331,"1,816","4,848","9,363","5,861","5,161","46,6","7,174","9,712",576,"3,501","3,565","3,479","3,495","5,401","2,874","3,535","9,851",5,6,7,3,0,0,5,8,1,6,6,0,6,2,6,2,6,8,4,1,5,7,1,4,3
x1461,"3,118","64,7","6,444","7,764","4,645","4,283","2,214","5,889","9,641","9,4","2,672","7,798","1,991",424,"7,519","5,477","3,001","4,446","0,35","6,549","5,429","2,069","4,786","7,462","7,926",7,6,4,8,5,0,2,3,2,5,8,6,3,2,5,4,0,7,6,7,3,5,7,2,5
x1462,459,125,"1,591","9,867","15,1","3,139","8,881","8,717","0,58","9,964","6,897","3,573","5,179","8,038","1,706","8,044",715,"4,967","2,5","7,886","1,678","3,649","8,039","1,609","1,224",8,4,1,7,6,6,1,4,7,0,5,3,8,0,6,7,3,4,4,6,5,7,6,5,6
x1463,"8,286","7,674","9,088",116,"7,964","4,737","1,783","7,995","66,5","7,914","1,202","4,698","51,4","4,991",569,"8,801","5,155","1,418","6,839","1,812",65,"91,6","6,748","4,224","6,309",3,6,3,5,1,4,2,2,3,4,0,0,1,3,3,5,8,5,7,3,5,3,6,6,7
x1464,422,"9,974","1,295","12,8","5,445","1,263","1,005","6,568","9,423","3,196","4,641","8,341","5,328","9,256","4,582","2,239","4,692","3,299","8,537","6,575","0,04","7,159","5,471","8,552","7,061",6,7,5,5,4,6,8,5,1,4,6,0,1,4,8,4,5,3,2,0,4,2,1,6,0
x1465,"5,011",775,"1,726","1,875",587,"5,539","4,861","7,336","7,876","6,678","8,057","2,649","3,951","1,971","1,644","7,224",227,"5,199","4,944","34,6","18,7","2,806","3,607","6,998","7,305",1,4,2,4,7,7,7,3,4,8,5,6,6,6,0,1,7,6,2,0,2,1,8,5,8
x1466,"9,607","6,049","4,532","9,917","9,677","5,736",96,"5,803","6,463","8,789","24,2","4,617","2,272","8,059","41,2","7,869","4,267","6,144","40,4","8,873","54,7","6,605","4,642","7,967","2,651",3,7,7,2,2,4,0,8,2,2,3,6,7,5,4,7,3,2,2,7,5,1,0,8,7
x1467,"6,495","9,197","4,583","2,275","1,136","4,159","4,541","6,796","2,151","3,738","0,07","7,1","6,608","8,704","3,187","4,786",184,"8,115","2,706","5,833","9,979","5,963","8,619","9,306","2,992",1,1,7,0,2,6,1,5,6,2,7,2,1,7,2,4,1,1,1,7,6,3,1,7,3
x1468,"16,5","74,4","3,096","2,887","5,044","3,901",126,"7,706","95,8","7,406","5,366","7,968","8,891","6,671","1,956","9,188","4,231","4,441","7,118","1,475","3,571","4,634","7,814","8,502","4,212",2,2,5,0,0,0,0,0,0,8,7,1,5,3,4,3,6,4,6,3,5,4,8,8,0
x1469,432,"98,3",268,"5,309","4,164","4,695","2,775","14,3","7,371","3,013","5,782",463,"1,364","1,806","96,6","3,531","6,455","3,269","2,622","7,065","9,551","1,637","8,108","8,647",676,1,1,5,0,5,8,1,8,2,1,3,7,5,8,3,4,6,2,5,1,5,8,0,1,7
x1470,"2,644","1,945","6,222","2,507",684,"9,646","29,1","6,005","33,6","4,986","9,332","3,441","1,332","1,433",932,"4,259","5,264","37,5","4,802","3,679","7,433","1,069","6,841","8,519","6,285",4,4,3,7,1,5,4,1,0,5,2,0,4,8,6,1,8,6,8,2,4,3,4,4,7
x1471,"9,741","2,228","9,355","20,8","7,7","1,146","3,315","3,212","2,024","3,962",393,"6,915","3,798","6,919",367,"7,365",487,"9,488","1,677","5,779",353,"1,912","3,203","52,6","7,041",6,4,3,2,6,3,6,0,6,4,2,6,4,3,8,0,8,5,8,1,3,0,6,4,7
x1472,"8,286","6,613","4,939","9,455","3,606","4,768","4,691","2,461","3,149","1,821","7,992","7,526","2,934","9,296","4,747","7,512","1,071","1,026","2,259","2,274","79,2","1,363",788,"5,735",591,5,6,2,3,3,5,3,0,4,8,2,0,4,5,0,3,5,6,6,3,3,1,0,6,7
x1473,"6,587","8,092","8,782","1,108","3,333","2,633","5,199","7,392","6,464",745,"3,982","4,345","3,696","9,827","1,013","2,227","4,886","4,266",41,"6,233",783,"8,297","9,144",552,"7,856",7,3,8,1,6,1,2,2,5,4,4,3,2,3,6,1,5,6,6,8,8,2,4,5,4
x1474,"9,976","62,4","3,518","5,891","83,9","1,037","2,444",183,"1,225",868,"4,689","6,079","6,106","6,719",54,"2,934","5,303",454,"4,506","4,662","1,389","5,228","9,736","1,7","19,6",8,8,6,3,4,2,3,3,2,8,2,0,8,3,4,8,8,2,1,1,6,8,5,3,0
x1475,"4,543","6,779","3,272","3,106",545,"5,896","6,394","7,937","2,257","3,452","3,266","3,683","2,733","5,487","2,8","5,367","0,04","5,908","4,473",118,"7,768","3,332","6,396","6,226","9,619",5,1,2,5,0,7,6,7,8,7,8,7,8,2,2,1,7,4,0,8,1,4,6,8,4
x1476,178,"7,844","5,801","4,274","78,7","9,211","2,129","6,301","8,919","1,544",457,"7,066","7,151","2,176","2,652","3,434","5,569","7,662","5,537","3,142","3,098","59,5","16,1","7,294","7,102",8,5,6,7,8,6,8,3,6,3,6,6,8,3,6,3,8,4,6,2,6,6,8,0,4
x1477,"8,565","6,216","7,134","3,235","5,849","9,905","7,936","2,292","7,706","7,814","52,8","12,6","3,304","1,576",223,811,"6,404","6,926","7,407",298,"7,811","44,1","9,204",362,"4,965",4,6,8,1,2,8,6,1,4,7,1,5,4,5,1,4,7,2,7,6,6,2,8,4,3
x1478,"9,174","62,4","4,092","89,1","8,555","80,9",411,428,"3,925","5,422","2,411","59,4","7,987","2,6","9,146","9,6","2,505","5,542","7,599","7,006","2,841","97,3","5,238","6,705","5,142",2,7,2,6,1,6,5,5,3,7,5,5,3,1,0,5,3,8,5,3,3,0,6,7,1
x1479,"9,343","2,985","2,712","7,986","8,944","2,738","5,589","7,864","6,889","4,722","8,972",563,"2,488","1,272","8,991","47,3","4,535","4,738","1,397","7,911","8,296","2,192","6,503","4,184","5,776",7,0,6,5,1,6,6,6,6,5,5,5,4,4,7,7,7,4,3,6,3,0,7,5,3
x1480,"3,744","8,162","6,452","4,064","8,195","9,556","7,721","3,402","1,477","9,773",919,"4,038","5,872","9,324","7,213","8,236","45,5","9,594","8,196","5,787","7,425","4,719","8,464","6,803",361,8,5,3,1,7,0,5,3,1,3,1,0,1,1,6,4,4,3,8,5,7,7,8,2,7
x1481,"6,653","74,4",692,"4,075","6,586","5,665","5,227","7,477","5,406","7,377","4,335",573,"6,808","2,483","6,818",82,"5,331","8,176","9,085","0,8",69,"3,833","3,786","7,145","5,924",6,6,8,6,6,1,3,4,4,3,4,2,0,0,3,1,6,4,0,4,0,3,2,4,7
x1482,"91,1","5,403","6,691","8,478","5,337","1,959","9,061","9,631","8,729","8,058","7,647","10,7","5,129","81,7","2,121","2,748","8,379",165,"9,472","4,902","2,756","2,569","8,762","6,071",935,0,3,4,2,7,3,0,5,4,4,8,7,5,7,8,8,5,4,2,2,4,0,1,1,7
x1483,"9,733","4,638","4,774","9,903","8,425",401,"7,332","3,707","2,889",777,"2,654","3,781","92,1","2,106","9,502","8,372","5,202","1,215","8,671","9,881","1,657","4,967","8,587","4,999",554,7,7,1,4,3,4,6,2,0,3,5,3,4,7,8,0,0,6,6,7,5,0,4,7,8
x1484,"2,212","2,896","7,147",85,"66,9","7,526",701,"4,639","6,011","1,648","8,913","1,926","6,853","6,553","7,764","9,514","4,286","7,798","3,158","6,804","4,888","7,871","2,678","9,661","1,532",0,4,3,0,2,5,2,7,4,2,3,6,5,0,8,2,8,3,8,5,8,1,4,0,8
x1485,"8,878","8,337","9,412","1,472","1,988","8,273",429,"7,243","2,764",347,"3,288","4,001",794,"2,151","15,2","3,621",887,"9,728","8,941","7,491","6,497","18,3","8,078","6,252","26,4",4,3,3,5,7,4,2,7,6,4,2,6,3,0,6,3,0,4,1,3,5,6,8,4,2
x1486,"5,715","1,6","2,731","3,394","3,723","8,395","5,521","2,786","2,436","2,057","57,6","3,708","6,364","4,726","4,075","21,4","5,124","9,581","3,583",471,"4,125","7,973","4,747","4,937","7,895",8,7,5,7,8,1,5,7,5,8,2,3,3,7,5,3,1,3,5,6,3,0,6,1,5
x1487,"7,433","3,593","5,837","7,677","7,424","7,966","7,049","4,663","2,865","1,605","1,633","9,451","3,006","8,849","2,193","9,138","5,906","4,476","2,133",908,"5,389","3,975","9,404","1,488","4,341",8,1,1,6,1,5,7,6,6,6,5,7,2,5,4,2,4,6,6,4,5,1,3,3,3
x1488,177,"1,128","8,531","9,137","6,045",453,"9,799","85,6","3,698","2,794","5,697","54,5",368,"2,169","7,663","8,931","98,5","7,768","7,578","57,8","2,972",291,"9,495","7,028","1,595",5,2,6,2,5,3,7,4,7,5,1,3,2,1,5,8,4,1,8,6,7,8,6,3,8
x1489,"5,109","5,115","3,743",855,"0,22","6,093","3,204","64,5","1,201","2,903","9,793","4,989","78,5","5,064","3,669","69,4","1,757","4,616","9,423","3,783","3,364","1,598",695,"3,545","9,506",7,4,1,1,8,7,4,2,3,6,1,6,3,3,5,1,0,0,8,4,8,6,6,1,1
x1490,"8,336","4,684","3,646","5,049","1,682","6,203","1,151","4,408","2,733","4,867","1,934",70,"7,162","9,065","2,081","3,758","8,377","1,668","7,381","4,503","9,909","9,479","7,243","6,897","9,932",3,7,4,6,1,1,2,5,6,0,5,1,1,5,7,5,6,2,0,0,1,5,6,1,3
x1491,"2,423","3,811","7,436","8,923","1,814","19,5","0,31","9,566","5,136","8,342","1,119","8,916","7,499","3,698","3,464","8,913","1,523","3,629","23,9","8,704","4,376",844,"8,768","7,302","3,504",3,3,7,8,4,8,2,0,6,4,7,5,8,3,6,5,5,0,5,6,6,1,5,4,2
x1492,"9,143",152,"7,497","8,487","3,969","8,718","7,829","7,419","8,186","6,949","4,258","11,1","4,063","5,982","98,6","4,439","3,923","8,844","3,472","3,423","3,551","6,388","7,7","8,252","5,428",2,1,7,2,0,7,2,4,2,5,5,6,4,5,2,7,1,5,1,7,7,3,8,6,1
x1493,"5,517","5,914","5,567","5,965","4,196","6,049","3,699","24,8","5,412","1,9","5,253","3,683","4,739",914,"0,45","1,631","5,698","5,301","35,6","1,226","8,723","6,439","3,615","8,179","9,557",2,2,3,5,3,8,4,1,7,8,1,8,8,1,8,1,5,6,7,5,7,3,6,2,5
x1494,"9,299","9,501","6,993","3,505","9,759","1,832","1,319","2,253","7,961","7,216","1,931","1,829","4,998","5,203","7,649","8,533",615,"4,701","2,064","3,922","5,446","2,639","7,142","2,402","8,358",5,2,6,1,8,7,1,6,8,2,0,8,5,8,8,2,0,6,1,2,4,5,8,0,1
x1495,"6,415","6,027","7,539","64,9","2,843","2,426","6,534","6,881","7,367","8,335","4,546","1,496","5,034","1,719","2,286","5,129","9,631",772,"5,492","5,997","9,3","1,936","4,982","2,796","8,872",8,6,7,2,3,3,7,6,4,8,4,0,0,8,1,8,5,1,3,2,2,2,1,2,1
x1496,"9,767","26,2","5,643","5,177","7,791","4,019","1,277","2,867","1,441","8,054","4,662","8,596","8,581","3,638","9,822","6,965","7,238",847,"6,408","9,374","8,759","6,248",418,"8,592",509,0,6,6,1,5,2,4,1,0,2,3,0,3,6,6,6,0,5,2,0,7,4,0,6,6
x1497,"3,634","3,416","5,529","2,941","9,431","17,9","5,107","2,142","12,8","3,829","3,547","63,4","6,832","1,385","2,595","8,826","63,1","5,512","1,745","40,6","6,488","1,476","1,449","8,994","4,474",5,6,7,7,5,3,1,3,4,2,5,2,2,3,6,0,5,7,6,0,3,7,6,3,1
x1498,"6,604",727,"9,174","6,592","36,9",396,"3,112","5,498","5,599","1,705","4,494","4,563","6,129","8,155","6,986","2,705","1,541","3,507","7,265",692,"1,561","6,928","8,3","6,195","6,392",5,3,7,8,5,7,8,6,3,2,5,7,8,2,2,6,0,3,6,6,7,3,0,3,4
x1499,"1,798","2,704","8,173","6,107","8,819","9,119","7,814","9,325","5,744","8,922","1,171","2,209","9,825","4,299","1,096","9,934","5,403",406,"24,6","4,858",85,91,432,"75,3","1,043",6,4,8,0,3,0,2,8,8,4,1,0,1,6,2,1,5,3,4,0,5,2,7,3,0
x1500,"9,639","79,9","4,863",118,"8,671","0,08","2,298","8,671","4,737","2,545","7,889","7,873",456,"1,202","4,959","8,038","8,449","5,083","2,642","8,907","5,157",787,"1,842","9,496","4,511",2,5,6,2,4,8,6,4,1,7,7,0,6,6,6,0,1,5,5,1,4,6,0,1,6
x1501,"7,847","4,122","3,825","7,706","3,994","0,22","69,2","2,069",537,"37,4","4,717","5,896","8,867","2,104","76,6","7,592","6,851","8,155","9,579","7,167","4,253","3,045","8,061","9,055","1,212",4,5,0,1,2,2,2,5,3,2,8,7,3,5,1,6,2,0,1,6,3,2,7,3,3
x1502,"3,255","6,431","6,419",415,"7,239","3,892","1,559","1,709","3,102","83,7","44,2","1,885","2,491","1,695","4,854","7,528","1,198","40,9","6,939","8,113","2,436","9,636","4,458","6,771","47,5",0,3,8,6,5,7,5,1,2,4,1,7,5,0,8,2,7,0,1,2,4,4,8,0,2
x1503,"5,436","1,863","4,034","9,693","1,018",272,575,"4,744","4,706","1,966","5,847","2,997","4,553","9,639","6,315",876,"3,606","4,063","5,455","5,496","8,077","9,046","4,363","7,638","6,072",4,1,4,0,0,0,0,0,0,2,5,2,3,4,7,8,3,6,0,6,8,6,0,8,6
x1504,"99,9","1,079","65,2","9,894","2,315","5,082","1,749",726,"2,695","9,6","1,791",497,"8,494",569,"9,118","7,753","72,9","3,741","6,182","7,371","1,622","9,204","2,097","5,149","9,415",4,3,1,5,0,0,6,5,0,8,8,5,2,6,8,1,0,5,5,5,0,3,1,2,4
x1505,"8,797","7,307","55,2","5,914","28,2","22,1","48,5","8,771","2,581","2,501","7,376","4,034","8,835","7,962","5,091","2,775","7,403","5,294","5,137","5,367","3,228","9,854","10,4","1,835","8,084",5,3,7,3,6,0,0,1,6,1,1,0,7,8,0,1,4,4,4,5,6,7,6,3,6
x1506,"5,197","9,578","2,255","5,857","7,016","6,394","3,502","8,851",585,"7,395","4,418","71,1","2,954","4,887","7,335","2,046","2,986","8,845","1,666","8,894","9,074","8,335","6,205","8,227","5,172",7,2,4,2,7,2,4,4,2,8,0,3,4,3,4,5,0,1,0,5,3,5,3,5,5
x1507,383,"8,939","1,272","3,459","80,3",943,252,"94,4",999,"6,925",97,813,"6,761","7,932","6,418","27,5","7,475","7,744","5,488","6,646","1,481","8,627","47,3","1,647","2,457",6,1,4,4,6,8,2,0,2,8,8,6,6,4,4,0,5,8,4,7,5,3,4,5,2
x1508,"5,766","8,664","1,119","6,636","3,648","9,048","5,755","8,546","1,679","5,862","7,207",76,"2,399","7,667","2,185",264,"5,697","1,039",495,"5,395","8,662",581,"8,671","8,856","7,465",1,1,6,8,6,6,8,7,7,4,3,3,0,5,3,1,3,4,3,8,8,0,5,1,6
x1509,"7,969","2,436","2,759","2,407","9,807","4,175","3,708",549,"2,885","5,182","2,558","0,16","5,188","5,352","7,805",367,214,"2,083","6,315","4,011","5,597","9,775","1,459","1,019","3,135",0,2,5,7,8,8,3,5,8,7,3,4,4,1,2,6,2,3,1,4,2,6,5,6,0
x1510,"3,685","61,4","8,899",151,"6,969","6,117","5,885","4,928","9,457","3,972",853,314,"5,023","70,4","5,731","8,714","48,2","1,869","7,411","1,854","7,913","37,7","6,765","8,071","65,8",8,4,8,3,1,3,1,0,7,7,0,5,2,7,0,1,0,3,5,4,7,6,2,5,2
x1511,"1,639","8,629","3,482","2,607","9,079","6,193","2,787","7,226",439,"2,995","2,273","1,749",687,"9,649","2,999","1,746","9,896","7,764","1,902","7,291","3,808",939,"9,201","5,6","9,206",7,5,2,1,4,2,5,1,4,6,8,8,1,4,0,6,3,2,1,0,5,5,3,6,3
x1512,"8,747","6,092","8,618","9,052",965,118,"6,072","1,776","29,7","3,679","3,598","8,916","4,832","2,583","1,851","7,721","46,8","1,115","9,057",551,"6,479","8,623","1,787","2,444","9,946",8,2,4,1,0,5,0,4,4,2,8,0,7,3,3,2,6,1,2,0,6,2,4,4,8
x1513,"9,825","35,7","3,584","3,378","5,101","9,383","9,391","5,252",627,"2,273","2,474","6,205","5,287","8,433",124,"1,024","2,798","7,916","2,555","5,733","6,677","8,476","4,144",187,"3,536",0,2,2,1,3,1,6,4,3,1,6,4,3,4,5,4,5,5,6,1,5,2,1,8,4
x1514,"3,063","4,678","2,769","9,761","7,893","7,502","5,536","8,361","5,086","5,762","9,578",662,"4,064","15,9","4,309","2,988",478,"8,775","9,639",638,"7,141","9,656","5,304",638,"1,679",1,1,1,2,2,1,5,5,7,1,5,2,1,5,7,8,7,2,7,8,1,8,3,4,1
x1515,693,"8,837","4,552","5,907","9,849","34,9","8,396","7,107","8,086","1,326","5,006","6,429","8,574",678,"1,424","9,747","0,98","1,851","85,5","3,036","9,359","7,598","3,948","6,993","3,714",2,3,6,8,0,3,8,2,5,8,8,1,0,0,6,6,7,8,5,4,3,4,4,3,2
x1516,"3,657","7,624",748,291,"3,872","90,3","5,902","3,779","44,2","2,923","2,701","9,895","6,562","8,867","2,042","7,395","24,4","5,474","27,8","6,204","8,203","9,705","3,161","6,225","5,264",1,0,8,3,6,1,4,5,0,0,2,5,7,2,8,0,1,2,4,3,7,7,2,3,6
x1517,925,"6,143","4,346","3,544","22,2","58,5","71,9",492,"16,1","6,086","9,925","6,079","4,659",126,"1,468","6,187","1,401","1,156","2,635","2,246","3,525","1,442","7,868","3,747","8,584",2,3,5,1,4,4,0,8,0,0,5,0,6,1,3,6,1,3,1,5,5,8,1,5,3
x1518,"6,423",444,"90,5","3,922","9,039","9,136","8,775","8,389","7,946","2,557","4,694","4,485","1,088","25,3","3,528","2,275","7,597","7,741","4,203","6,482","9,846","8,856","2,209","7,906","2,429",2,7,8,8,3,8,0,8,5,4,7,3,1,8,0,4,8,6,1,0,2,7,7,3,3
x1519,"1,598","4,209","2,676","7,365","6,864","6,348",51,"1,252","1,339","4,145","6,538","6,848","24,7",27,"3,838","0,12","9,7","3,325","8,911","7,134",317,"2,805","6,334","5,516","0,4",6,3,4,5,6,7,7,5,3,3,2,2,4,4,4,6,4,3,2,5,2,2,3,7,2
x1520,"4,436","1,688","4,977","5,246",413,"9,456","7,632","41,8",665,"5,345",162,"1,314","7,769","7,158","7,252","7,816","9,595","9,613",61,"6,866","7,374","8,975","9,515","4,197","4,079",7,5,4,3,3,5,2,5,1,2,3,7,8,1,4,1,6,5,7,2,3,0,8,7,0
x1521,"6,197","4,454",602,"3,981","7,113","1,973","1,988","6,667","6,029","7,711","8,229","1,938","8,115","3,605","3,579","7,093","9,196","1,282","9,538","89,6","5,927","6,015","4,242","1,705","6,725",4,5,0,4,7,1,7,7,8,2,7,7,8,1,6,3,3,4,2,6,5,0,5,6,1
x1522,"2,293","8,836","3,797","3,495","2,049","8,568","2,128","1,793","8,614","2,118","3,315","3,225","6,743","6,111","2,278","3,947","1,475","8,507","1,825",492,"86,2","64,7","4,909","5,108",61,5,1,8,1,4,3,5,2,4,0,7,1,8,2,0,2,7,6,2,2,8,5,3,4,2
x1523,"1,998","3,222","5,206","6,534","3,899","40,4","4,655","3,5","2,563","3,268","2,717","8,517","7,111","1,417","8,599","3,643","4,162",146,"3,378","1,049","8,467","7,351","9,693","1,924","3,172",5,8,8,7,5,4,5,6,3,4,2,2,2,4,5,2,2,8,8,6,3,2,5,3,7
x1524,"6,992","1,131","6,517","1,345","7,151","3,172","82,3","9,675","7,184","5,236","0,13","1,892","7,381","5,546","5,128","43,8","7,683","9,864","7,854","1,674","7,253","2,892","3,073","7,905","1,133",0,5,7,2,4,7,5,5,6,4,1,7,2,3,4,5,3,7,5,8,1,3,2,5,6
x1525,"3,784","6,936","33,3","9,728","3,227","6,838",661,"5,817","79,7","6,308","9,213","9,447","3,988","5,874","5,865","60,3",695,"4,807","3,017","7,512","1,518",327,"7,173","1,901","7,841",5,1,0,4,2,1,4,2,5,0,2,6,8,7,0,1,0,7,3,6,2,2,1,1,0
x1526,"3,498","6,716","7,703","2,885",8,"1,866","2,277","82,1",319,"8,484","8,966","5,369","7,052","33,1","4,504","2,796","1,889","3,872","9,928",548,"70,8","6,401","3,624","7,584","8,953",2,0,1,5,8,0,6,4,1,3,3,0,7,4,5,8,0,5,3,5,0,5,5,6,1
x1527,"4,536","4,868","4,363","9,721","8,365","1,143","9,522","3,976","5,216","2,565","5,322","8,162","7,373","9,677","2,662","9,408","6,066",946,"3,8","6,347","4,718","2,086","1,587","6,747","5,9",0,3,7,7,5,8,4,4,5,4,6,1,2,2,2,4,3,1,7,8,0,6,3,7,4
x1528,"6,829","1,406","44,2","5,629",383,"9,863","5,121","3,374","8,116","7,128","2,243","4,912","94,3","1,377","7,556","7,689","3,661","8,072","8,667","7,098","1,655",607,"7,287","7,918","23,3",1,7,7,1,8,5,4,8,0,6,3,7,5,2,4,1,1,7,8,1,1,2,6,3,1
x1529,825,"9,913","3,155","7,185","5,344","7,387","2,166",84,"6,704","6,336",881,"5,914","1,143","3,128","0,72","5,705",70,"2,375","3,025","5,287","7,401","8,803","4,683","8,723","2,313",5,7,6,5,7,0,1,8,4,1,6,6,0,6,4,1,5,5,7,4,8,4,0,4,2
x1530,"9,6","4,149","8,839","5,374","7,614",189,"9,625","2,771","6,245",179,"3,234","6,367","5,817","5,569","4,398","7,745","3,117","8,186","1,849","1,517","6,459","9,651","6,553","32,5","7,303",6,7,6,0,7,3,2,5,6,4,7,4,2,2,6,0,6,6,7,0,8,8,5,6,8
x1531,"4,318","8,463","0,38","3,922","4,279","2,807","6,7","6,966","8,556","6,452","9,564","2,054","6,405","4,103",482,"9,677",462,"0,77","4,777","2,462","9,121","1,201","9,056","1,077","5,092",1,7,8,6,5,3,6,6,4,5,8,7,8,1,0,6,8,4,4,7,5,1,7,4,4
x1532,"6,354","3,704",994,"8,728","4,977","2,322","9,739","7,987","3,465","1,295",715,"1,793","2,334","2,833","20,3","2,396","8,862","4,892","5,605",558,93,"1,359","9,379","6,818","9,694",6,1,5,0,2,4,8,8,7,6,0,2,5,6,3,8,0,0,0,5,4,3,3,2,8
x1533,"8,476","3,122",779,994,"6,328","9,141","2,882","8,015","5,188","2,397","2,269","9,649","2,963","1,697","8,119","3,492","2,022","5,081","3,908","3,039","8,648","3,133","9,748","8,967","6,335",1,8,5,2,5,2,2,5,7,6,3,5,4,2,2,2,5,3,8,8,5,6,2,7,8
x1534,"1,846","4,096","5,608","5,838","0,8","9,307","8,487","9,295","8,411","2,442","3,143","9,589",148,"1,915","2,923","6,232","7,176","4,497","7,775",524,"8,939",354,"9,785","3,628","9,291",8,2,1,7,2,1,3,2,6,8,3,7,8,6,5,6,6,2,2,0,2,0,1,4,3
x1535,"1,557","9,171","3,155","2,169","7,083","5,663","7,472","9,855",981,"9,691","9,755","6,758","8,191","8,473","1,264",717,"1,902","7,621","3,643","3,697","76,4","8,335","4,016","5,088","1,946",0,2,8,8,1,3,2,0,4,3,2,8,4,1,4,5,0,2,1,8,8,7,7,2,6
x1536,769,"1,505","2,578","4,966","2,919","5,244","2,509","9,286","7,623","1,872",368,"4,331","9,478",507,"5,601","2,275","1,297","5,265","4,025","1,329","0,15","9,614","5,259","3,027","33,8",2,6,5,7,0,5,3,8,5,2,5,6,0,1,0,0,2,2,6,6,4,6,0,8,0
x1537,"4,972",729,"2,516",704,"2,788","2,437","1,417","74,5","1,354","7,532","3,103","5,345","9,175","2,629","9,335","2,166","2,411","8,874","4,061","7,891","3,198","4,642","5,202","8,229",554,8,1,0,8,1,6,8,4,6,7,5,7,5,6,0,5,1,4,5,6,8,4,7,1,7
x1538,"9,582","8,217","6,325","0,97","3,059","4,802","6,119","9,318","5,225","8,401","5,874","6,409","9,789","4,791","4,495","5,063","8,512",142,"3,091","3,355","8,174","9,194","3,482","9,514","2,667",2,3,1,6,2,4,2,7,0,5,8,6,2,3,5,5,6,1,0,1,3,0,8,0,1
x1539,"3,044","2,501","9,531","32,1","2,907","1,483","9,609","8,586","6,322","8,097","3,098","5,452","4,771",515,"9,857","3,776","9,244","5,981","8,104","7,489","3,985",832,"9,112","3,939","1,254",0,6,8,1,8,8,4,7,6,8,2,7,6,1,8,1,4,4,7,6,5,4,0,1,6
x1540,"7,543","1,839","14,9","6,686","3,121","5,864","1,778","34,9","2,696","6,143","5,157","2,549","8,033","9,182","2,911","6,193","6,802","4,938","18,2","9,992","3,238","5,458","9,165","3,851","1,165",7,5,2,2,6,4,7,4,2,3,8,6,2,3,1,0,4,4,8,5,3,0,8,6,0
x1541,"9,877","1,831","9,066","0,55","7,431",896,"9,221","2,678",691,"7,868","5,304","7,968","5,535","6,454","5,717","5,161","5,557","6,137","7,948",294,"4,336","7,676","7,988","4,718","9,641",6,7,6,0,1,5,4,4,4,5,5,6,4,3,2,1,6,2,6,4,1,2,1,8,5
